Name,Chemical Name (IAPUC),Chemical Formula,MW,SMILES
gan-2-8,CCCCC/C=C\C/C=C\CCCCCCCC(OCC(COC(C1=CN=C(N)N=C1)=O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O)=O,C45H72N2O6,737.079,CCCCC/C=C\C/C=C\CCCCCCCC(OCC(COC(C1=CN=CC=N1)=O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O)=O
gan-2-9,"2-(((quinoxaline-6-carbonyl)oxy)methyl)propane-1,3-diyl (9Z,9'Z,12Z,12'Z)-bis(octadeca-9,12-dienoate)",C49H74N2O6, 787.1390,CCCCC/C=C\C/C=C\CCCCCCCC(OCC(COC(C1=CC=C(N=CC=N2)C2=C1)=O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O)=O
gan-2-13,"(4-((3-(((9Z,12Z)-octadeca-9,12-dienoyl)oxy)-2-((((9Z,12Z)-octadeca-9,12-dienoyl)oxy)methyl)propoxy)carbonyl)phenyl)boronic acid",C47H75BO8,778.919,CCCCC/C=C\C/C=C\CCCCCCCC(OCC(COC(C1=CC=C(B(O)O)C=C1)=O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O)=O
gan-2-5,"2-(((3-((tert-butoxycarbonyl)amino)propanoyl)oxy)methyl)propane-1,3-diyl (9Z,9'Z,12Z,12'Z)-bis(octadeca-9,12-dienoate)",C48H83NO8,802.191,CCCCC/C=C\C/C=C\CCCCCCCC(OCC(COC(CCNC(OC(C)(C)C)=O)=O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O)=O
gan-2-10,"2-(((3-aminopropanoyl)oxy)methyl)propane-1,3-diyl (9Z,9'Z,12Z,12'Z)-bis(octadeca-9,12-dienoate)",C43H75NO6,702.074,CCCCC/C=C\C/C=C\CCCCCCCC(OCC(COC(CCN)=O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O)=O
gan-2-4,"(S)-1-(10-((R)-2-hydroxydodecyl)-1,7-dioxa-4,10-diazacyclododecan-4-yl)dodecan-2-ol", C32H66N2O4,542.89,O[C@@H](CCCCCCCCCC)CN1CCOCCN(C[C@H](O)CCCCCCCCCC)CCOCC1
gan-1-110,"(2R,2'R,2''R)-1,1',1''-nitrilotris(dodecan-2-ol)",C36H75NO3,570,O[C@@H](CCCCCCCCCC)CN1CCOCCN(C[C@H](O)CCCCCCCCCC)CCOCC1
gan-2-15,"N2,N3-didodecylquinoxaline-2,3-diamine",C32H56N4,496.828,O[C@H](CCCCCCCCCC)CN(C[C@H](O)CCCCCCCCCC)C[C@H](O)CCCCCCCCCC
gan-2-29,"1-(1,4,7-trioxa-10-azacyclododecan-10-yl)dodecan-2-ol",C20H41NO4,359.551,OC(CCCCCCCCCC)CN1CCOCCOCCOCC1
gan-2-22,"1-(1,4,7,10-tetraoxa-13-azacyclopentadecan-13-yl)dodecan-2-ol",C22H45NO5,403.604,OC(CCCCCCCCCC)CN1CCOCCOCCOCCOCC1
gan-2-23,"1-(1,4,7,10,13-pentaoxa-16-azacyclooctadecan-16-yl)dodecan-2-ol",C24H49NO6,447.657,OC(CCCCCCCCCC)CN1CCOCCOCCOCCOCCOCC1
gan-2-21,"1,1',1'',1'''-(1,4,7,10-tetraazacyclotridecane-1,4,7,10-tetrayl)tetrakis(dodecan-2-ol)",C57H118N4O4,923.595,OC(CCCCCCCCCC)CN1CCCN(CC(CCCCCCCCCC)O)CCN(CC(CCCCCCCCCC)O)CCN(CC(CCCCCCCCCC)O)CC1
gan-2-47,"1,1',1'',1''',1''''-(1,4,7,10,13-pentaazacyclopentadecane-1,4,7,10,13-pentayl)pentakis(dodecan-2-ol)",C70H145N5O5,1136.96,OC(CCCCCCCCCC)CN1CCCN(CC(CCCCCCCCCC)O)CCN(CC(CCCCCCCCCC)O)CCN(CC(CCCCCCCCCC)O)CC1
gan-2-33,"1,1',1'',1''',1'''',1'''''-(1,4,7,10,13,16-hexaazacyclooctadecane-1,4,7,10,13,16-hexayl)hexakis(dodecan-2-ol)",C84H174N6O6,1364.352,OC(CCCCCCCCCC)CN1CCN(CC(CCCCCCCCCC)O)CCN(CC(O)CCCCCCCCCC)CCN(CC(CCCCCCCCCC)O)CCN(CC(O)CCCCCCCCCC)CCN(CC(CCCCCCCCCC)O)CC1
gan-2-24,"(9aS)-3-decyl-8-(2-hydroxydodecyl)hexahydropyrazino[2,1-c][1,4]oxazin-1(6H)-one",C29H56N2O3,480.778,O=C(O1)[C@@H]2CN(CC(CCCCCCCCCC)O)CCN2CC1CCCCCCCCCC
gan-2-18,"(7R)-3-decyl-7-((2-hydroxydodecyl)oxy)hexahydro-1H-pyrrolo[2,1-c][1,4]oxazin-1-one",C29H55NO4,481.762,O=C1OC(CCCCCCCCCC)CN2C[C@H](OCC(CCCCCCCCCC)O)CC21
gan-2-41,"N-dodecyl-[1,2,4]triazolo[4,3-a]pyrazin-8-amine",C17H29N5,303.454,O=C1OC(CCCCCCCCCC)CN2C[C@H](OCC(CCCCCCCCCC)O)CC21
gan-2-38,"(2R,3R,4S,5R)-2-(6-(dodecylamino)-9H-purin-9-yl)-5-(hydroxymethyl)tetrahydrofuran-3,4-diol",C22H37N5O4,435.569,OC[C@@H]1[C@H]([C@H]([C@H](N2C=NC3=C2N=CN=C3NCCCCCCCCCCCC)O1)O)O
gan-2-30,"2-((((2-(4-(2-hydroxyethyl)piperazin-1-yl)ethoxy)carbonyl)oxy)methyl)propane-1,3-diyl (9Z,9'Z,12Z,12'Z)-bis(octadeca-9,12-dienoate)",C49H86N2O8,831.233,CCCCC/C=C\C/C=C\CCCCCCCC(OCC(COC(OCCN1CCN(CCO)CC1)=O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O)=O
gan-2-42,"(((((piperazine-1,4-diylbis(ethane-2,1-diyl))bis(oxy))bis(carbonyl))bis(oxy))bis(methylene))bis(propane-2,1,3-triyl) (9Z,9'Z,9''Z,9'''Z,12Z,12'Z,12''Z,12'''Z)-tetrakis(octadeca-9,12-dienoate)",C90H154N2O14,1488.222,CCCCC/C=C\C/C=C\CCCCCCCC(OCC(COC(OCCN1CCN(CCOC(OCC(COC(CCCCCCC/C=C\C/C=C\CCCCC)=O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O)=O)CC1)=O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O)=O
gan-2-44-p2,"3-((4,4-bis(octyloxy)butanoyl)oxy)-2-((((2-(4-(2-hydroxyethyl)piperazin-1-yl)ethoxy)carbonyl)oxy)methyl)propyl (9Z,12Z)-octadeca-9,12-dienoate",C51H94N2O10,895.317,CCCCC/C=C\C/C=C\CCCCCCCC(OCC(COC(OCCN1CCN(CCO)CC1)=O)COC(CCC(OCCCCCCCC)OCCCCCCCC)=O)=O
gan-2-44-p1,"((((piperazine-1,4-diylbis(ethane-2,1-diyl))bis(oxy))bis(carbonyl))bis(oxy))bis(2-(((4,4-bis(octyloxy)butanoyl)oxy)methyl)propane-3,1-diyl) (9Z,9'Z,12Z,12'Z)-bis(octadeca-9,12-dienoate)",C94H170N2O18,1616.39,CCCCC/C=C\C/C=C\CCCCCCCC(OCC(COC(OCCN1CCN(CCOC(OCC(COC(CCC(OCCCCCCCC)OCCCCCCCC)=O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O)=O)CC1)=O)COC(CCC(OCCCCCCCC)OCCCCCCCC)=O)=O
gan-2-19,"2-(((1-(3-(dimethylamino)propyl)-3-ethyl-2,4-dioxo-1,2,3,4-tetrahydropteridine-6-carbonyl)oxy)methyl)propane-1,3-diyl (9Z,9'Z,12Z,12'Z)-bis(octadeca-9,12-dienoate)",C54H87N5O8,934.317,CCCCC/C=C\C/C=C\CCCCCCCC(OCC(COC(C1=CN=C(N(CCCN(C)C)C(N(CC)C2=O)=O)C2=N1)=O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O)=O
gan-2-74,"1,1',1''-(1,5,9-triazacyclotridecane-1,5,9-triyl)tris(dodecan-2-ol)",C46H95N3O3,738.284,CC(CNCC(CCCCCCCCCC)O)(C)CN(CC(CCCCCCCCCC)O)CC(CCCCCCCCCC)O
gan-2-55,"1,1'-((3-((2-hydroxydodecyl)amino)-2,2-dimethylpropyl)azanediyl)bis(dodecan-2-ol)",C41H86N2O3, 655.1500,CC(CNCC(CCCCCCCCCC)O)(C)CN(CC(CCCCCCCCCC)O)CC(CCCCCCCCCC)O
gan-2-78,"1,1'-((2,2-difluoro-3-((2-hydroxydodecyl)amino)propyl)azanediyl)bis(dodecan-2-ol)",C39H80F2N2O3,663.0768,OC(CCCCCCCCCC)CN(CC(CCCCCCCCCC)O)CCOCCOCCOCCN(CC(CCCCCCCCCC)O)CC(CCCCCCCCCC)O
gan-2-69,"13,25-bis(2-hydroxydodecyl)-16,19,22-trioxa-13,25-diazaheptatriacontane-11,27-diol",C56H116N2O7,929.551,OC(CCCCCCCCCC)CN(CC(CCCCCCCCCC)O)CC1=CC=C(CN(CC(CCCCCCCCCC)O)CC(CCCCCCCCCC)O)O1
gan-2-77,"1,1',1'',1'''-((furan-2,5-diylbis(methylene))bis(azanetriyl))tetrakis(dodecan-2-ol)",C54H106N2O5,863.451,O=C(OC)C1=CC=C(N(C(CCCCCCCCCCC)=N2)CCCCCCCCCCCC)C2=C1
gan-2-52,methyl 1-dodecyl-2-undecyl-1H-benzo[d]imidazole-5-carboxylate,C32H54N2O2,498.796,OC(C1=CC=C(N(C(CCCCCCCCCCC)=N2)CCCCCCCCCCCC)C2=C1)=O
gan-2-56,1-dodecyl-2-undecyl-1H-benzo[d]imidazole-5-carboxylic acid,C31H52N2O2,484.769,O=C(OC)C1=CC=C(/[N+](CCCCCCCCCCCC)=C\CCCCCCCCCCC)C(/N=C/CCCCCCCCCCC)=C1
gan-2-51,N-dodecyl-N-((Z)-dodecylidene)-2-(((E)-dodecylidene)amino)-4-(methoxycarbonyl)benzenaminium,C44H79N2O2+,668.1275,CCCCC/C=C\C/C=C\CCCCCCCC(OCC(COC(C1=CN=C(N(CCCN(C)C)C(N(CC)C2=O)=O)C2=N1)=O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O)=O
gan-2-59-p2,"2-(((3-(dodecylamino)propanoyl)oxy)methyl)propane-1,3-diyl (9Z,9'Z,12Z,12'Z)-bis(octadeca-9,12-dienoate)",C55H99NO6,870.398,CCCCC/C=C\C/C=C\CCCCCCCC(OCC(COC(CCNCCCCCCCCCCCC)=O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O)=O
gan-2-67,"3-(((3-(diethylamino)propoxy)carbonyl)oxy)-2-((((9Z,12Z)-octadeca-9,12-dienoyl)oxy)methyl)propyl 1-dodecyl-2-undecyl-1H-benzo[d]imidazole-5-carboxylate",C61H105N3O7,992.525,O=C(CCCCCCC/C=C\C/C=C\CCCCC)OCC(COC(OCCCN(CC)CC)=O)COC(C1=CC=C(N(C(CCCCCCCCCCC)=N2)CCCCCCCCCCCC)C2=C1)=O
gan-2-59,"(((3,3'-(dodecylazanediyl)bis(propanoyl))bis(oxy))bis(methylene))bis(propane-2,1,3-triyl) (9Z,9'Z,9''Z,9'''Z,12Z,12'Z,12''Z,12'''Z)-tetrakis(octadeca-9,12-dienoate)",C98H171NO12,1555.441,O=C(CCN(CCCCCCCCCCCC)CCC(OCC(COC(CCCCCCC/C=C\C/C=C\CCCCC)=O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O)=O)OCC(COC(CCCCCCC/C=C\C/C=C\CCCCC)=O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O
gan-2-87,"3-(2-((3r,5r,7r)-adamantan-1-yl)acetoxy)-2-((((3-(pyrrolidin-1-yl)propoxy)carbonyl)oxy)methyl)propyl (9Z,12Z)-octadeca-9,12-dienoate",C42H69NO7,700.014,O=C(CCCCCCC/C=C\C/C=C\CCCCC)OCC(COC(OCCCN1CCCC1)=O)COC(CC2(C[C@H]3C4)C[C@H]4C[C@H](C3)C2)=O
gan-2-95,"3-(2-((3r,5r,7r)-adamantan-1-yl)acetoxy)-2-((((3-(pyrrolidin-1-yl)propoxy)carbonyl)oxy)methyl)propyl decanoate",C34H57NO7,591.83,O=C(OCCCN1CCCC1)OCC(COC(CCCCCCCCC)=O)COC(CC2(C[C@H]3C4)C[C@H]4C[C@H](C3)C2)=O
gan-2-96,"3-(2-((3r,5r,7r)-adamantan-1-yl)acetoxy)-2-((((3-(pyrrolidin-1-yl)propoxy)carbonyl)oxy)methyl)propyl undecanoate",C35H59NO7,605.857,O=C(OCCCN1CCCC1)OCC(COC(CCCCCCCCC)=O)COC(CC2(C[C@H]3C4)C[C@H]4C[C@H](C3)C2)=O
gan-2-97,"3-(2-((3r,5r,7r)-adamantan-1-yl)acetoxy)-2-((((3-(pyrrolidin-1-yl)propoxy)carbonyl)oxy)methyl)propyl dodecanoate",C36H61NO7,619.884,O=C(OCCCN1CCCC1)OCC(COC(CCCCCCCCCCC)=O)COC(CC2(C[C@H]3C4)C[C@H]4C[C@H](C3)C2)=O
gan-2-98,"3-(2-((3r,5r,7r)-adamantan-1-yl)acetoxy)-2-((((3-(pyrrolidin-1-yl)propoxy)carbonyl)oxy)methyl)propyl tridecanoate",C37H63NO7,633.911,O=C(OCCCN1CCCC1)OCC(COC(CCCCCCCCCCCC)=O)COC(CC2(C[C@H]3C4)C[C@H]4C[C@H](C3)C2)=O
gan-2-99,"3-(2-((3r,5r,7r)-adamantan-1-yl)acetoxy)-2-((((3-(pyrrolidin-1-yl)propoxy)carbonyl)oxy)methyl)propyl tetradecanoate",C38H65NO7,647.938,O=C(OCCCN1CCCC1)OCC(COC(CCCCCCCCCCCCC)=O)COC(CC2(C[C@H]3C4)C[C@H]4C[C@H](C3)C2)=O
gan-2-100,"3-(2-((3r,5r,7r)-adamantan-1-yl)acetoxy)-2-((((3-(pyrrolidin-1-yl)propoxy)carbonyl)oxy)methyl)propyl pentadecanoate",C39H67NO7,661.965,O=C(OCCCN1CCCC1)OCC(COC(CCCCCCCCCCCCCC)=O)COC(CC2(C[C@H]3C4)C[C@H]4C[C@H](C3)C2)=O
gan-2-101,"3-(2-((3r,5r,7r)-adamantan-1-yl)acetoxy)-2-((((3-(pyrrolidin-1-yl)propoxy)carbonyl)oxy)methyl)propyl palmitate",C40H69NO7,675.992,O=C(OCCCN1CCCC1)OCC(COC(CCCCCCCCCCCCCCC)=O)COC(CC2(C[C@H]3C4)C[C@H]4C[C@H](C3)C2)=O
gan-2-102,"3-(2-((3r,5r,7r)-adamantan-1-yl)acetoxy)-2-((((3-(pyrrolidin-1-yl)propoxy)carbonyl)oxy)methyl)propyl heptadecanoate",C41H71NO7,690.019,O=C(OCCCN1CCCC1)OCC(COC(CCCCCCCCCCCCCCCC)=O)COC(CC2(C[C@H]3C4)C[C@H]4C[C@H](C3)C2)=O
gan-2-103,"3-(2-((3r,5r,7r)-adamantan-1-yl)acetoxy)-2-((((3-(pyrrolidin-1-yl)propoxy)carbonyl)oxy)methyl)propyl stearate",C42H73NO7,704.046,O=C(OCCCN1CCCC1)OCC(COC(CCCCCCCCCCCCCCCCC)=O)COC(CC2(C[C@H]3C4)C[C@H]4C[C@H](C3)C2)=O
gan-2-106,"3-(2-((3r,5r,7r)-adamantan-1-yl)acetoxy)-2-((((3-(pyrrolidin-1-yl)propoxy)carbonyl)oxy)methyl)propyl (9Z,12Z,15Z)-octadeca-9,12,15-trienoate",C42H67NO7,697.998,O=C(OCCCN1CCCC1)OCC(COC(CCCCCCC/C=C\C/C=C\C/C=C\CC)=O)COC(CC2(C[C@H]3C4)C[C@H]4C[C@H](C3)C2)=O
gan-2-107,"3-(2-((3r,5r,7r)-adamantan-1-yl)acetoxy)-2-((((3-(pyrrolidin-1-yl)propoxy)carbonyl)oxy)methyl)propyl (E)-octadec-10-enoate",C42H71NO7,702.03,O=C(OCCCN1CCCC1)OCC(COC(CCCCCCCC/C=C/CCCCCCC)=O)COC(CC2(C[C@H]3C4)C[C@H]4C[C@H](C3)C2)=O
gan-2-108,"3-(2-((3r,5r,7r)-adamantan-1-yl)acetoxy)-2-((((3-(pyrrolidin-1-yl)propoxy)carbonyl)oxy)methyl)propyl oleate",C42H71NO7, 702.0300,O=C(OCCCN1CCCC1)OCC(COC(CCCCCCC/C=C\CCCCCCCC)=O)COC(CC2(C[C@H]3C4)C[C@H]4C[C@H](C3)C2)=O
gan-2-104,"3-(2-((3r,5r,7r)-adamantan-1-yl)acetoxy)-2-((((3-(pyrrolidin-1-yl)propoxy)carbonyl)oxy)methyl)propyl 4,4-bis(octyloxy)butanoate",C44H77NO9,764.098,CCCCCCCCOC(CCC(OCC(COC(OCCCN1CCCC1)=O)COC(CC2(C[C@H]3C4)C[C@H]4C[C@H](C3)C2)=O)=O)OCCCCCCCC
gan-2-94,"2-((((3-(pyrrolidin-1-yl)propoxy)carbonyl)oxy)methyl)propane-1,3-diyl bis(2-((3r,5r,7r)-adamantan-1-yl)acetate)",C36H55NO7, 613.8360,O=C(OCCCN1CCCC1)OCC(COC(C[C@]2(C[C@@H]3C4)C[C@@H]4C[C@@H](C3)C2)=O)COC(C[C@@]5(C[C@H]6C7)C[C@H]7C[C@H](C6)C5)=O
gan-2-120,"3,6-bis(4-(didecylamino)butyl)piperazine-2,5-dione",C52H104N4O2,817.43,O=C(NC1CCCCN(CCCCCCCCCC)CCCCCCCCCC)C(CCCCN(CCCCCCCCCC)CCCCCCCCCC)NC1=O
gan-2-121,"3-(4-(((E)-dec-4-en-1-yl)((E)-dec-6-en-1-yl)amino)butyl)-6-(4-(di((E)-dec-4-en-1-yl)amino)butyl)piperazine-2,5-dione", C52H96N4O2, 809.3660,O=C(NC1CCCCN(CCCCC/C=C/CCC)CCC/C=C/CCCCC)C(CCCCN(CCC/C=C/CCCCC)CCC/C=C/CCCCC)NC1=O
gan-2-122,"3,6-bis(4-(di((Z)-dec-4-en-1-yl)amino)butyl)piperazine-2,5-dione",C52H96N4O2,809.366,O=C(NC1CCCCN(CCC/C=C\CCCCC)CCC/C=C\CCCCC)C(CCCCN(CCC/C=C\CCCCC)CCC/C=C\CCCCC)NC1=O
gan-2-123,"3,6-bis(4-(diundecylamino)butyl)piperazine-2,5-dione",C56H112N4O2,873.538,O=C(NC1CCCCN(CCCCCCCCCCC)CCCCCCCCCCC)C(CCCCN(CCCCCCCCCCC)CCCCCCCCCCC)NC1=O
gan-2-118,"3,6-bis(4-(didodecylamino)butyl)piperazine-2,5-dione", C60H120N4O2,929.646,O=C(NC1CCCCN(CCCCCCCCCCCC)CCCCCCCCCCCC)C(CCCCN(CCCCCCCCCCCC)CCCCCCCCCCCC)NC1=O
gan-2-124,"3,6-bis(4-(ditridecylamino)butyl)piperazine-2,5-dione",C64H128N4O2,985.754,O=C(NC1CCCCN(CCCCCCCCCCCCC)CCCCCCCCCCCCC)C(CCCCN(CCCCCCCCCCCCC)CCCCCCCCCCCCC)NC1=O
gan-2-125,"3,6-bis(4-(ditetradecylamino)butyl)piperazine-2,5-dione",C68H136N4O2,1041.862,O=C(NC1CCCCN(CCCCCCCCCCCCCC)CCCCCCCCCCCCCC)C(CCCCN(CCCCCCCCCCCCCC)CCCCCCCCCCCCCC)NC1=O
gan-2-126,"3,6-bis(4-(ditetradecylamino)butyl)piperazine-2,5-dione",C68H136N4O2,1041.862,O=C(NC1CCCCN(CCCCCCCCCCCCCC)CCCCCCCCCCCCCC)C(CCCCN(CCCCCCCCCCCCCC)CCCCCCCCCCCCCC)NC1=O
gan-2-127,"3,6-bis(4-(dipentadecylamino)butyl)piperazine-2,5-dione",C72H144N4O2,1097.97,O=C(NC1CCCCN(CCCCCCCCCCCCCCC)CCCCCCCCCCCCCCC)C(CCCCN(CCCCCCCCCCCCCCC)CCCCCCCCCCCCCCC)NC1=O
gan-2-130,"3-(4-(di((E)-hexadec-11-en-1-yl)amino)butyl)-6-(4-(((E)-hexadec-10-en-1-yl)((E)-hexadec-11-en-1-yl)amino)butyl)piperazine-2,5-dione",C76H144N4O2,1146.014,O=C(NC1CCCCN(CCCCCCCCCC/C=C/CCCC)CCCCCCCCCC/C=C/CCCC)C(CCCCN(CCCCCCCCCC/C=C/CCCC)CCCCCCCCC/C=C/CCCCC)NC1=O
gan-2-128,"3,6-bis(4-(diheptadecylamino)butyl)piperazine-2,5-dione", C80H160N4O2,1210.186,O=C(NC1CCCCN(CCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCC)C(CCCCN(CCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCC)NC1=O
gan-2-129,"3,6-bis(4-(dioctadecylamino)butyl)piperazine-2,5-dione",C84H168N4O2,1266.294,O=C(NC1CCCCN(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)C(CCCCN(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)NC1=O
gan-2-132,"tetraoctyl 3,3',3'',3'''-(((3,6-dioxopiperazine-2,5-diyl)bis(butane-4,1-diyl))bis(azanetriyl))tetrapropionate",C56H104N4O10,993.466,O=C(CCN(CCCCC1NC(C(CCCCN(CCC(OCCCCCCCC)=O)CCC(OCCCCCCCC)=O)NC1=O)=O)CCC(OCCCCCCCC)=O)OCCCCCCCC
gan-2-144,"tetranonyl 3,3',3'',3'''-(((3,6-dioxopiperazine-2,5-diyl)bis(butane-4,1-diyl))bis(azanetriyl))tetrapropionate",C60H112N4O10,1049.574,O=C(CCN(CCCCC1NC(C(CCCCN(CCC(OCCCCCCCCC)=O)CCC(OCCCCCCCCC)=O)NC1=O)=O)CCC(OCCCCCCCCC)=O)OCCCCCCCCC
gan-2-145,"tetrakis(decyl) 3,3',3'',3'''-(((3,6-dioxopiperazine-2,5-diyl)bis(butane-4,1-diyl))bis(azanetriyl))tetrapropionate",C64H120N4O10,1105.682,O=C(CCN(CCCCC1NC(C(CCCCN(CCC(OCCCCCCCCCC)=O)CCC(OCCCCCCCCCC)=O)NC1=O)=O)CCC(OCCCCCCCCCC)=O)OCCCCCCCCCC
gan-2-146,"tetraundecyl 3,3',3'',3'''-(((3,6-dioxopiperazine-2,5-diyl)bis(butane-4,1-diyl))bis(azanetriyl))tetrapropionate",C68H128N4O10,1161.79,O=C(CCN(CCCCC1NC(C(CCCCN(CCC(OCCCCCCCCCCC)=O)CCC(OCCCCCCCCCCC)=O)NC1=O)=O)CCC(OCCCCCCCCCCC)=O)OCCCCCCCCCCC
gan-2-109-p3,"tetradodecyl 3,3',3'',3'''-(((3,6-dioxopiperazine-2,5-diyl)bis(butane-4,1-diyl))bis(azanetriyl))tetrapropionate",C72H136N4O10,1217.898,O=C(NC1CCCCN(CCC(OCCCCCCCCCCCC)=O)CCC(OCCCCCCCCCCCC)=O)C(CCCCN(CCC(OCCCCCCCCCCCC)=O)CCC(OCCCCCCCCCCCC)=O)NC1=O
gan-2-147,"tetratridecyl 3,3',3'',3'''-(((3,6-dioxopiperazine-2,5-diyl)bis(butane-4,1-diyl))bis(azanetriyl))tetrapropionate",C76H144N4O10,1274.006,O=C(NC1CCCCN(CCC(OCCCCCCCCCCCC)=O)CCC(OCCCCCCCCCCCC)=O)C(CCCCN(CCC(OCCCCCCCCCCCC)=O)CCC(OCCCCCCCCCCCC)=O)NC1=O
gan-2-148,"tetrapentadecyl 3,3',3'',3'''-(((3,6-dioxopiperazine-2,5-diyl)bis(butane-4,1-diyl))bis(azanetriyl))tetrapropionate",C84H160N4O10,1386.222,O=C(CCN(CCCCC1NC(C(CCCCN(CCC(OCCCCCCCCCCCCCCC)=O)CCC(OCCCCCCCCCCCCCCC)=O)NC1=O)=O)CCC(OCCCCCCCCCCCCCCC)=O)OCCCCCCCCCCCCCCC
gan-2-149,"tetraheptadecyl 3,3',3'',3'''-(((3,6-dioxopiperazine-2,5-diyl)bis(butane-4,1-diyl))bis(azanetriyl))tetrapropionate",C92H176N4O10,1498.438,O=C(CCN(CCCCC1NC(C(CCCCN(CCC(OCCCCCCCCCCCCCCCCC)=O)CCC(OCCCCCCCCCCCCCCCCC)=O)NC1=O)=O)CCC(OCCCCCCCCCCCCCCCCC)=O)OCCCCCCCCCCCCCCCCC
gan-2-133,"tetraoctadecyl 3,3',3'',3'''-(((3,6-dioxopiperazine-2,5-diyl)bis(butane-4,1-diyl))bis(azanetriyl))tetrapropionate",C96H184N4O10,1554.546,O=C(CCN(CCCCC1NC(C(CCCCN(CCC(OCCCCCCCCCCCCCCCCCC)=O)CCC(OCCCCCCCCCCCCCCCCCC)=O)NC1=O)=O)CCC(OCCCCCCCCCCCCCCCCCC)=O)OCCCCCCCCCCCCCCCCCC
gan-2-152,"(2R,5aR,7R,10aR)-2,7-bis(bis(2-hydroxydecyl)amino)octahydro-5H,10H-dipyrrolo[1,2-a:1',2'-d]pyrazine-5,10-dione",C50H96N4O6,849.34,O=C([C@@H]1N2C[C@H](N(CC(CCCCCCCC)O)CC(CCCCCCCC)O)C1)N3[C@H](C[C@@H](N(CC(CCCCCCCC)O)CC(CCCCCCCC)O)C3)C2=O
